22700 154.4063738 -46.4102582   53.4820061    0.1465144 0.15 0.17  10.61  1.64 0.77 0.05 0.18 0.04                     
13221 154.399612  -46.4152447   53.7429981    0.2007597 0.12 0.19  13.29  2.25 0.77 0.05 0.23 0.05                     
13669 154.3962276 -46.4226435   53.7796822    0.0933216 0.13 0.14  11.71  1.89 0.82 0.05 0.21 0.04                     
24738 154.3887748 -46.4109963   55.4421921    0.0822419 0.19 0.1   15.5   1.67 0.8  0.05 0.29 0.04                     
25266 154.3842944 -46.40955     55.467268     0.0964647 0.07 0.1   13.7   1.92 0.79 0.05 0.25 0.04                     
13002 154.4010112 -46.4143661   56.372142     0.1453847 0.53 0.2    7.1   1.82 0.78 0.05 0.1  0.02 bimodal             
14889 154.3865607 -46.4230981   56.7096115    0.0558515 0.39 0.14  27.84  8.48 0.76 0.05 0.56 0.19                     
14972 154.385826  -46.4162548   69.2141762    0.1269738 0.18 0.13  12.19  1.62 0.8  0.05 0.23 0.04                     
13756 154.3956072 -46.4187063   71.324673     0.2933056 0.72 0.16  32.3  19.98 0.77 0.05 0.53 0.33                     
14743 154.3878464 -46.4193458   74.306263     0.314958  0.36 0.12  20.51  2.39 0.79 0.05 0.43 0.07                     
23000 154.4040105 -46.3991815   75.3491707    0.2840521 0.2  0.2    6.26  1.15 0.81 0.05 0.12 0.03                     
13522 154.3974135 -46.411234   108.1784058    0.433644  0.28 0.09  17.74  2.26 0.8  0.05 0.44 0.08                     
12904 154.4018549 -46.4198264  110.3183784    0.2890734 0.04 0.05  11.62  0.69 1.2  0.05 0.35 0.03 BSS; V sin i        
14700 154.3885623 -46.4170203  112.2586899    0.3764142 0.18 0.17  11.28  1.94 0.81 0.05 0.26 0.06 bimodal             
13355 154.3986671 -46.413736   115.1415357    0.5219151 0.63 0.12  34.88  9.98 0.67 0.05 0.82 0.21                     
 6324 154.3886712 -46.4264148  120.51017      0.2625462 0.57 0.12  14.16  4.71 0.83 0.05 0.29 0.08                     
23175 154.4026434 -46.4049449  129.3306427    1.0890996 0.12 0.19   5.23  1.32 0.83 0.05 0.12 0.03                     
12927 154.4017952 -46.4147246  143.3831635    0.5336587 0.37 0.08  14.07  1.48 0.72 0.05 0.33 0.05                     
11300 154.4145891 -46.4182382  163.2573013    1.6874266 0.41 0.12  17.32  4.38 0.82 0.05 0.48 0.13                     
