r 05081 154.4004963 -46.4266769 13
r 06558 154.385951  -46.4257183 14
r 10438 154.4220203 -46.4184423 10
r 10831 154.418836  -46.421602  15
r 10940 154.4177892 -46.4189271  4
r 11350 154.4140141 -46.4183902  7
r 11904 154.4095647 -46.4186727  6
r 21152 154.4195083 -46.4093147 12
r 23212 154.4025975 -46.3986404 25
r 23363 154.4006213 -46.4106651 54
r 23379 154.4006104 -46.4078003 15
r 23448 154.3998945 -46.4043377 12
r 23979 154.3953958 -46.409211  12
m 02758 154.4247164 -46.4257056  3
m 02815 154.4241708 -46.4254114 14
m 02816 154.4242421 -46.4251697 11
m 02899 154.4232539 -46.4255541 13
m 02945 154.423008  -46.4271337  3
m 02947 154.4229326 -46.4268941  7
m 02949 154.4228312 -46.4262509  6
m 02951 154.4225307 -46.4254798 12
m 03005 154.4224351 -46.427042   5
m 03006 154.4222032 -46.426947   7
m 03008 154.4223458 -46.4256541 15
m 03009 154.4222582 -46.4253229  3
m 03051 154.4217782 -46.4250711 14
m 03090 154.421259  -46.427189   3
m 03092 154.4214446 -46.4260602 15
m 03095 154.4214438 -46.4255316  3
m 03138 154.4208872 -46.4268978  8
m 03140 154.420697  -46.426482   6
m 03142 154.4208702 -46.4260381 14
m 03143 154.4207911 -46.4263296 15
m 03145 154.4207206 -46.4253539 15
m 03193 154.419991  -46.4258574 15
m 03194 154.4202813 -46.4256972 15
m 03248 154.4197565 -46.4260909 15
m 03251 154.4197383 -46.4252089 15
m 03252 154.4195594 -46.4252879 15
m 03350 154.4187055 -46.426878   6
m 03352 154.4185355 -46.4270202  6
m 03354 154.4186434 -46.4267092  5
m 03393 154.4181081 -46.4260858  5
m 03395 154.4180336 -46.4257658 15
m 03396 154.4184248 -46.4254054 15
m 03401 154.4181914 -46.4251979  5
m 03447 154.4176703 -46.4270541  5
m 03449 154.4175262 -46.4261948 15
m 03450 154.4175452 -46.4258703  5
m 03535 154.4167192 -46.4264014  6
m 03650 154.4158605 -46.4268172  3
m 03697 154.4151856 -46.4269905  4
m 03701 154.4149868 -46.4264937  7
m 03792 154.4139787 -46.42649    8
m 03795 154.4144345 -46.4256489 15
m 03838 154.4135068 -46.4266461  3
m 03885 154.413059  -46.4260929  6
m 03936 154.4126694 -46.4268528  4
m 03989 154.4119614 -46.4270224  5
m 04037 154.4119308 -46.4261277  6
m 04042 154.4115725 -46.4256764 13
m 04043 154.4115017 -46.4253964 15
m 04092 154.410968  -46.425757   3
m 04093 154.4109244 -46.4253706  4
m 04121 154.4104648 -46.4270848  6
m 04125 154.4109164 -46.4255696 15
m 04182 154.4101217 -46.4258945 15
m 04184 154.4100558 -46.425462  15
m 04187 154.4101988 -46.4252498 15
m 04223 154.4095447 -46.4263912  5
m 04258 154.409393  -46.4262382  8
m 04259 154.4090574 -46.4254343  9
m 04261 154.4091994 -46.4252376 15
m 04303 154.4086613 -46.4262421  5
m 04308 154.4086852 -46.4253931 15
m 04352 154.408178  -46.4267727 10
m 04357 154.4080587 -46.4263035 13
m 04358 154.4079319 -46.4261185  7
m 04363 154.4083896 -46.4250159 15
m 04365 154.4079707 -46.4251016 15
m 04404 154.4074192 -46.4270034  5
m 04405 154.4074075 -46.4268451  3
m 04409 154.40746   -46.4266569 12
m 04415 154.4074625 -46.4251249  3
m 04462 154.4072697 -46.4256651 14
m 04513 154.4066197 -46.4259677 23
m 04514 154.4067934 -46.4253677 20
m 04516 154.4065778 -46.4250738 19
m 04556 154.406263  -46.4272009  5
m 04557 154.4060875 -46.4271079  6
m 04563 154.4062252 -46.4265362 11
m 04566 154.4063886 -46.4261418 28
